ScanList Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample
VK2RWI,'2RWI TG1 WW Call,'2RWI TG8 StatWs,'2RWI TG9 s1 Loc,'2RWI TG13 WWE,'2RWI TG113 UA,'2RWI TG123 UA,'2RWI TG133 USA,'2RWI TG143 UK,'2RWI TG153 SthPc,'2RWI TG505 AU,'2RWI TG3801 ACT,'2RWI TG3802 NSW,'2RWI TG3803 Vic,'2RWI TG3804 Qld,'2RWI TG3805 SA,'2RWI TG3806 WA,'2RWI TG3807 Tas,'2RWI TG3809 link,,,,,,,,,,,,,,None,None,Last, 20, 8,
'2RAF BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2RHP BM,'2RHP bm505001 Lc,'2RHP DMR+ TG8,'2RHP bm505 AU,'2RHP bm5051 ACT,'2RHP bm5052 NSW,'2RHP bm505001 Lc,'2RHP bm50599 YSF,'2RHP bm95 AU/NZ,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2RHK bm Wyee,'2RHK bm5051 ACT,'2RHK bm5052 NSW,'2RHK bm5053 Vic,'2RHK bm5054 Qld,'2RHK bm5055 SA,'2RHK bm5056 WA,'2RHK bm5057 Tas,'2RHK bm505001 Lc,'2RHK bm50599,'2RHK bm505 AU,'2RHK bm95 PacRim,'2RHK DMR+ TG8,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2RMP BM,'2RMP bm5054 Qld,'2RMP DMR+ TG8,'2RMP bm91 WW,'2RMP bm923 EU E,'2RMP bm95 PacRim,'2RMP bm505 AU,'2RMP bm5051 ACT,'2RMP bm5052 NSW,'2RMP bm5053 Vic,'2RMP bm50599,,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
'2GG BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2RGP BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2JDS BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'2RCW BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RGL,'3RGL TG1 WW CALL,'3RGL TG3801 ACT,'3RGL TG8 VIC S1,'3RGL TG9 S1 Loc,'3RGL TG13 WWE,'3RGL TG113 UA,'3RGL TG123 UA,'3RGL TG153 SthPc,'3RGL TG505 AU,'3RGL TG3802 NSW,'3RGL TG3803 Vic,'3RGL TG3805 SA,'3RGL TG3807 Tas,'3RGL TG3804 Qld,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
