Zone Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,
DVmega BM,DVm 5051,DVm 5052,DVm 5053,DVm 5054,DVm 5055,DVm 5056,DVm 5057,DVm 8 Rfl,DVm 50599,DVm 505,DVm 95 PacRim,DVm 5058,DVm 913 WWE,DVm 923 EU E,DV4 TG9 S1,DVm 9s2,
HS_D BM,HS_D bm5051,HS_D bm5052,HS_D bm5053,HS_D bm5054,HS_D bm5055,HS_D bm5056,HS_D bm5057,HS_D bm 8 Rfl,HS_D bm 9s2,HS_D bm505,HS_D bm50599,HS_D bm WICEN,HS_D bm 91 WW,HS_D bm 913 WWE,HS_D bm 923 EU E,HS_D bm 95 PcRim,
HS_D VKdmr,HS_D 3801 ACT,HS_D 3802 NSW,HS_D 3803 Vic,HS_D 3804 Qld,HS_D 3805 SA,HS_D 3806 WA,HS_D 3807 Tas,HS_D 3808 NT,HS_D 3809 S1,HS_D 505,HS_D 113 UA,HS_D 123 UA,HS_D 13 WWE,HS_D 3810,HS_D 9s1,HS_D 8s1,
HS-S BM,HS bm5051,HS bm5052,HS bm5053,HS bm5054,HS bm5055,HS bm5056,HS bm5057,HS bm 8,HS bm50599,HS bm505,HS bm 95 PcRim,HS bm 91 WW,HS bm 913 WWE,HS bm 923 EU E,HS bm TG6,HS bm 9s2,
HS-S VKdmr,HS_S 3801,HS_S 3802,HS_S 3803,HS_S 3804,HS_S 3805,HS_S 3806,HS_S 3807,HS_S 3808,HS_S 3809 S1,HS_S 505,HS_S 113 UA,HS_S 123 UA,HS_S 13 WWE,HS_S 3810 s1,HS_S 9 s1,HS_S 8 s1,
VK1RBM Issacs,'1RMB 3801 ACT,'1RMB 3802 NSW,'1RMB 3803 Vic,'1RMB 3804 Qld,'1RMB 3805 SA,'1RMB 3806 WA,'1RMB 3807 Tas,'1RMB 3808 NT,'1RMB 3809 s1,'1RMB 505,'1RMB 113 UA,'1RMB 123 UA,'1RMB 13 WWE,'1RMB 3810 s1,'1RMB 9 s1,'1RMB TG8 s1,
VK2RAG Somersby,,,,,,,,,,,,,,,,,
VK2RAO Orange,'2RAO 3801 ACT,'2RAO 3802 NSW,'2RAO 3803 VIC,'2RAO 3804 QLD,'2RAO 3805 SA,'2RAO 3806 WA,'2RAO 3807 Tas,'2RAO 3808 NT,'2RAO 3809 s1,'2RAO 505 AU,'2RAO 113 UA,'2RAO 123 UA,'2RAO 13 WWE,'2RAO 3810 s1,'2RAO TG9 S1,'2RAO 8 s1,
VK2RCG Syd Cty,'2RCG 3801 ACT,'2RCG 3802 NSW,'2RCG 3803 Vic,'2RCG 3804 QLD,'2RCG 3805 SA,'2RCG 3806 WA,'2RCG 3807 Tas,'2RCG 3808 NT,'2RCG 3809 s1,'2RCG 505 AU,'2RCG 113 UA,'2RCG 123 UA,'2RCG 13 WWE,'2RCG 3810 s1,'2RCG 9 s1,'2RCG 8 s1,
VK2RCV Grafton,'2RCV 3801 ACT,'2RCV 3802 NSW,'2RCV 3803 Vic,'2RCV 3804 Qld,'2RCV 3805 SA,'2RCV 3806 WA,'2RCV 3807 Tas,'2RCV 3808 NT,'2RCV 3809 s1,'2RCV 505 AU,'2RCV 113 UA,'2RCV 123 UA,'2RCV 13 WWE,'2RCV 3810 s1,'2RCV 9 s1,'2RCV 8 s1,
